CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE
CHEMBL551140	564512	CHEMBL551140	564512		28	342.32	2.81	71.36	0	Cc1ccc2\C(=N\O)\C(=O)N(Cc3cc(F)cc4COCOc34)c2c1	2722276	Ki	>	30000	nM					586036	CHEMBL1063593	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			48187	CHEMBL1153595	19361991	Bioorg. Med. Chem. Lett.	2009	19	10	2891
CHEMBL523411	511615	CHEMBL523411	511615		6h	490.48	5.27	87.63	1	CCn1cc(c2ccnc3[nH]ccc23)c(n1)c4cccc(NC(=O)Nc5ccc(cc5)C(F)(F)F)c4	2240602	Activity					Not Active			514857	CHEMBL972665	B	Inhibition of SYK at 30 uM	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			44132	CHEMBL1156556	18662874	Bioorg. Med. Chem. Lett.	2008	18	16	4610
CHEMBL2069355	1359493	CHEMBL2069355	1359493		19g	453.5	1.56	120.85	0	O=C(Nc1cc(Nc2cnccn2)nc(c1)c3ccnc(c3)N4CCNCC4)c5cccnc5	10984699	IC50	=	6	nM	8.22				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL479820	473367	CHEMBL479820	473367		21	476.48	2.58	153.1	0	COc1cc(Nc2nc(NCc3ccc(CC(=O)O)cc3)n4ccnc4c2C(=O)N)cc(OC)c1	2592622	IC50	=	760	nM	6.12				560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
CHEMBL1084036	632413	CHEMBL1084036	632413		2t	480.45	3.85	116.31	0	Cc1cn(cn1)c2cc(NC(=O)Nc3ccc(c(C)c3)c4nc5[nH]ncc5[nH]4)cc(c2)C(F)(F)F	3307967	Inhibition	=	16	%					634754	CHEMBL1119370	B	Inhibition of human SYK	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			51356	CHEMBL1155528	20466542	Bioorg. Med. Chem. Lett.	2010	20	12	3805
CHEMBL1235110	697460	CHEMBL1235110	697460		4, YM-193306, 83, PRT-060318	340.42	2.56	118.95	0	Cc1cccc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)ncc2C(=O)N)c1	12108563	EC50	=	2500	nM	5.6				861803	CHEMBL2173396	B	Inhibition of SYK in human platelet-rich plasma assessed as reduction in convulxin-induced GPV1/FcRgamma-mediated platelet aggregation	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL478642	490277	CHEMBL478642	490277		14a	502.57	3.61	154.71	1	COc1cc(Nc2nc(N[C@H]3CCCC[C@H]3N)n4nc(nc4c2C(=O)N)c5ccccc5)cc(OC)c1	2575674	IC50	=	83	nM	7.08				490569	CHEMBL981176	B	Inhibition of human Syk	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			43944	CHEMBL1155791	18585046	Bioorg. Med. Chem.	2008	16	15	7347
CHEMBL2069360	1359498	CHEMBL2069360	1359498		19l	497.51	-1.09	158.15	1	OC(=O)c1ccc(cn1)C(=O)Nc2cc(Nc3cnccn3)nc(c2)c4ccnc(c4)N5CCNCC5	10984704	IC50	=	10	nM	8				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL1272171	711431	CHEMBL1272171	711431		64	474.53	4.82	85.86	0	CC(C)c1n[nH]c(c1c2ccnc(Nc3ccc(cn3)N4CCC(CC4)N(C)C)n2)C(F)(F)F	3523924	IC50	>	10000	nM					676352	CHEMBL1273653	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			53568	CHEMBL1269009	21038853	J. Med. Chem.	2010	53	22	7938
CHEMBL30678	44820	CHEMBL30678	44820		45	321.42	2.56	67.07	0	CN(C)c1ccc(cc1)c2cc3ncccc3c(NCCCN)n2	12108606	IC50	=	34	nM	7.47				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL287478	44949	CHEMBL287478	44949		42	363.46	2.24	76.3	0	NCCCNc1nc(cc2ncccc12)c3ccc(cc3)N4CCOCC4	12108609	IC50	=	8	nM	8.1				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL2170585	1430070	CHEMBL2170585	1430070		28, Compound-D	386.41	3.57	89.36	0	COc1ccc(cc1OC)c2cc3nccn3c(Nc4ccc5cn[nH]c5c4)n2	12108564	EC50	=	1080	nM	5.97				861804	CHEMBL2173397	B	Inhibition of SYK assessed as IL4 production by cell based assay	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL565286	573839	CHEMBL565286	573839		6	276.29	2.63	51.55	0	O=C1OC(=N/C/1=C\c2cccnc2)\C=C\c3ccccc3	2938614	Inhibition					Not Active			594435	CHEMBL1040627	B	Inhibition of SYK at 10 uM	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			48569	CHEMBL1154675	19877644	J. Med. Chem.	2009	52	22	7323
CHEMBL2069348	1359486	CHEMBL2069348	1359486		13d	332.4	2.54	65.97	0	C1CN(CCN1)c2cccc(c2)c3cccc(Nc4cnccn4)n3	10984692	IC50	=	43	nM	7.37				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL104519	172835	CHEMBL104519	172835		20	397.45	2.13	97.8	0	CNS(=O)(=O)c1ccc2NC(=O)\C(=C/c3cn(C)c4ccc(OC)cc34)\c2c1	12108630	IC50	=	20	nM	7.7				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL515271	459205	CHEMBL515271	459205		84, R112	312.3	3.93	90.3	0	Oc1cccc(Nc2ncc(F)c(Nc3cccc(O)c3)n2)c1	12108553	EC50	=	400	nM	6.4				861794	CHEMBL2173387	B	Inhibition of SYK-mediated PLCgamma phosphorylation	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
